match_id,inning,over,runs_scored,wickets,cumulative_score
335982,1,0,3,0,3
335982,1,1,18,0,21
335982,1,2,6,0,27
335982,1,3,23,0,50
335982,1,4,10,0,60
335982,1,5,1,1,61
335982,1,6,7,0,68
335982,1,7,5,0,73
335982,1,8,4,0,77
335982,1,9,10,0,87
335982,1,10,15,0,102
335982,1,11,10,0,112
335982,1,12,12,1,124
335982,1,13,6,0,130
335982,1,14,24,0,154
335982,1,15,4,0,158
335982,1,16,14,0,172
335982,1,17,7,1,179
335982,1,18,21,0,200
335982,1,19,22,0,222
335982,2,0,4,0,4
335982,2,1,5,1,9
335982,2,2,3,1,12
335982,2,3,4,0,16
335982,2,4,8,1,24
335982,2,5,2,1,26
335982,2,6,7,0,33
335982,2,7,5,1,38
335982,2,8,5,2,43
335982,2,9,8,0,51
335982,2,10,5,0,56
335982,2,11,3,1,59
335982,2,12,11,0,70
335982,2,13,7,1,77
335982,2,14,4,0,81
335982,2,15,1,1,82
335983,1,0,5,0,5
335983,1,1,15,0,20
335983,1,2,7,1,27
335983,1,3,6,0,33
335983,1,4,9,0,42
335983,1,5,11,0,53
335983,1,6,9,1,62
335983,1,7,8,1,70
335983,1,8,13,0,83
335983,1,9,5,0,88
335983,1,10,19,0,107
335983,1,11,20,0,127
335983,1,12,6,1,133
335983,1,13,10,0,143
335983,1,14,18,0,161
335983,1,15,8,1,169
335983,1,16,14,0,183
335983,1,17,17,0,200
335983,1,18,15,0,215
335983,1,19,25,0,240
335983,2,0,9,0,9
335983,2,1,7,0,16
335983,2,2,11,0,27
335983,2,3,10,0,37
335983,2,4,10,0,47
335983,2,5,16,1,63
335983,2,6,6,0,69
335983,2,7,15,0,84
335983,2,8,13,0,97
335983,2,9,13,0,110
335983,2,10,5,1,115
335983,2,11,12,0,127
335983,2,12,14,0,141
335983,2,13,11,0,152
335983,2,14,13,1,165
335983,2,15,11,0,176
335983,2,16,10,0,186
335983,2,17,5,1,191
335983,2,18,7,0,198
335983,2,19,9,0,207
335984,1,0,7,0,7
335984,1,1,10,0,17
335984,1,2,0,1,17
335984,1,3,14,1,31
335984,1,4,6,0,37
335984,1,5,3,0,40
335984,1,6,4,1,44
335984,1,7,4,1,48
335984,1,8,3,0,51
335984,1,9,6,0,57
335984,1,10,2,1,59
335984,1,11,12,0,71
335984,1,12,9,1,80
335984,1,13,7,0,87
335984,1,14,9,1,96
335984,1,15,10,0,106
335984,1,16,4,0,110
335984,1,17,1,1,111
335984,1,18,10,0,121
335984,1,19,8,0,129
335984,2,0,8,0,8
335984,2,1,13,1,21
335984,2,2,5,0,26
335984,2,3,10,0,36
335984,2,4,12,0,48
335984,2,5,7,0,55
335984,2,6,4,0,59
335984,2,7,12,0,71
335984,2,8,7,0,78
335984,2,9,8,0,86
335984,2,10,9,0,95
335984,2,11,5,0,100
335984,2,12,11,0,111
335984,2,13,4,0,115
335984,2,14,13,0,128
335984,2,15,4,0,132
335985,1,0,8,0,8
335985,1,1,5,1,13
335985,1,2,6,0,19
335985,1,3,3,1,22
335985,1,4,19,0,41
335985,1,5,6,1,47
335985,1,6,7,0,54
335985,1,7,6,0,60
335985,1,8,12,0,72
335985,1,9,2,0,74
335985,1,10,7,0,81
335985,1,11,13,0,94
335985,1,12,3,0,97
335985,1,13,2,1,99
335985,1,14,6,0,105
335985,1,15,13,0,118
335985,1,16,11,1,129
335985,1,17,20,0,149
335985,1,18,9,1,158
335985,1,19,7,1,165
335985,2,0,10,0,10
335985,2,1,1,0,11
335985,2,2,11,0,22
335985,2,3,5,0,27
335985,2,4,10,1,37
335985,2,5,3,0,40
335985,2,6,6,0,46
335985,2,7,8,0,54
335985,2,8,15,1,69
335985,2,9,7,1,76
335985,2,10,4,0,80
335985,2,11,14,0,94
335985,2,12,10,0,104
335985,2,13,5,1,109
335985,2,14,9,0,118
335985,2,15,8,0,126
335985,2,16,10,0,136
335985,2,17,19,0,155
335985,2,18,8,1,163
335985,2,19,3,0,166
335986,1,0,9,0,9
335986,1,1,5,0,14
335986,1,2,7,0,21
335986,1,3,0,1,21
335986,1,4,2,1,23
335986,1,5,16,0,39
335986,1,6,6,0,45
335986,1,7,2,0,47
335986,1,8,1,2,48
335986,1,9,4,0,52
335986,1,10,5,0,57
335986,1,11,2,1,59
335986,1,12,3,0,62
335986,1,13,3,0,65
335986,1,14,12,1,77
335986,1,15,5,0,82
335986,1,16,20,0,102
335986,1,17,3,2,105
335986,1,18,5,2,110
335986,2,0,6,0,6
335986,2,1,10,1,16
335986,2,2,2,1,18
335986,2,3,3,0,21
